epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.32408,1.32553,3.63241,1.67446,0.01279,0.93333,0.26621,0.16604,1.43192,3.59024,1.64589,0,0,0
2,9.4575,1.146,3.57699,1.61353,0.01259,0.93333,0.28659,0.1819,1.42919,3.58736,1.63599,9.802e-06,9.802e-06,9.802e-06
3,13.6255,1.33904,3.47239,1.74623,0.01284,0.93333,0.37721,0.26052,1.43014,3.58871,1.62114,1.9208e-05,1.9208e-05,1.9208e-05
4,17.5988,1.47643,3.64556,1.94174,0.0129,0.93333,0.35681,0.25123,1.42306,3.59012,1.59075,2.8218e-05,2.8218e-05,2.8218e-05
5,21.3611,1.45929,3.69432,1.94411,0.01348,0.93333,0.34289,0.24386,1.40308,3.58358,1.55478,3.6832e-05,3.6832e-05,3.6832e-05
6,26.3266,1.28948,3.56525,1.74799,0.01327,0.93333,0.34232,0.24079,1.36932,3.58571,1.52316,4.505e-05,4.505e-05,4.505e-05
7,30.0071,0.99497,3.44195,1.48947,0.01378,0.93333,0.39507,0.26419,1.34922,3.59789,1.49753,5.2872e-05,5.2872e-05,5.2872e-05
8,33.7985,1.01921,3.5795,1.57103,0.01416,0.93333,0.40881,0.28165,1.36802,3.60035,1.53351,6.0298e-05,6.0298e-05,6.0298e-05
9,37.7075,1.10959,3.44595,1.54235,0.01473,0.93333,0.42358,0.30195,1.33201,3.59799,1.51562,6.7328e-05,6.7328e-05,6.7328e-05
10,41.6747,0.96765,3.33904,1.44158,0.01464,0.93333,0.48751,0.33318,1.32263,3.59185,1.52628,7.3962e-05,7.3962e-05,7.3962e-05
11,45.6455,0.85611,3.41349,1.46665,0.01503,0.93333,0.50365,0.33625,1.34157,3.5911,1.56652,8.02e-05,8.02e-05,8.02e-05
12,49.4337,0.90837,3.31427,1.42817,0.01559,0.93333,0.42843,0.25044,1.36083,3.58694,1.58103,8.6042e-05,8.6042e-05,8.6042e-05
13,53.4907,0.88898,3.25815,1.40506,0.01601,0.93333,0.42011,0.23522,1.38145,3.59957,1.58962,9.1488e-05,9.1488e-05,9.1488e-05
14,57.3084,0.94111,3.20485,1.42531,0.01628,0.93333,0.42458,0.23624,1.40248,3.60345,1.58747,9.6538e-05,9.6538e-05,9.6538e-05
15,61.1957,1.10613,3.28458,1.65974,0.01658,0.93333,0.43425,0.23108,1.40662,3.6029,1.5976,0.000101192,0.000101192,0.000101192
