epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.3686,2.15337,3.41467,1.62999,0.08019,0.68513,0.09518,0.04181,1.71323,3.20745,1.49476,0.00014,0.00014,0.00014
2,49.3891,2.02534,2.61311,1.3641,0.10333,0.88291,0.13107,0.05408,1.65518,3.07683,1.41802,0.00029406,0.00029406,0.00029406
3,73.8708,2.0067,1.74114,1.35224,0.10259,0.87658,0.67475,0.26187,1.71844,2.5691,1.35127,0.000441784,0.000441784,0.000441784
4,98.9365,2.03858,1.30985,1.31232,0.82798,0.60165,0.75016,0.31336,1.81731,1.72462,1.36583,0.000583172,0.000583172,0.000583172
5,121.975,1.83442,1.18801,1.3106,0.81817,0.65665,0.75982,0.3148,1.81009,1.5425,1.35946,0.000718224,0.000718224,0.000718224
6,145.842,1.95337,1.19108,1.33474,0.87094,0.66203,0.78222,0.33562,1.82886,1.50536,1.34504,0.00084694,0.00084694,0.00084694
7,168.972,1.88891,1.1687,1.29319,0.84754,0.54272,0.63967,0.27574,1.8112,1.67289,1.37064,0.00096932,0.00096932,0.00096932
8,194.344,1.91391,1.12527,1.25819,0.85981,0.52848,0.63874,0.28324,1.86476,1.75943,1.40001,0.00108536,0.00108536,0.00108536
9,221.242,1.84938,1.17365,1.29265,0.80182,0.5269,0.67396,0.29759,1.77246,1.64264,1.37095,0.00119507,0.00119507,0.00119507
10,248.966,1.86483,1.10775,1.26845,0.8408,0.52057,0.66527,0.30047,1.74067,1.43069,1.34506,0.00129844,0.00129844,0.00129844
11,278.914,1.87256,1.15275,1.27898,0.84428,0.59177,0.70797,0.31638,1.71383,1.28365,1.33585,0.00139548,0.00139548,0.00139548
12,309.445,1.81609,1.09584,1.27808,0.82753,0.76676,0.83929,0.37093,1.64666,1.15096,1.29798,0.00148618,0.00148618,0.00148618
13,341.798,1.84581,1.11803,1.24062,0.79194,0.77693,0.81036,0.33816,1.68578,1.23159,1.31527,0.0015248,0.0015248,0.0015248
14,373.092,1.82877,1.07232,1.28378,0.79028,0.78481,0.79242,0.3337,1.72477,1.21648,1.33297,0.0014852,0.0014852,0.0014852
15,402.851,1.82305,1.13837,1.26105,0.79416,0.77848,0.80951,0.34593,1.738,1.25866,1.3558,0.0014456,0.0014456,0.0014456
16,429.861,1.7859,1.02935,1.26931,0.84906,0.78956,0.8561,0.36815,1.70782,1.23081,1.34997,0.001406,0.001406,0.001406
17,461.587,1.80769,1.08658,1.26509,0.82228,0.82726,0.85359,0.37902,1.69747,1.20843,1.33734,0.0013664,0.0013664,0.0013664
18,493.093,1.78597,1.01731,1.22349,0.80404,0.76582,0.81469,0.36172,1.70389,1.14389,1.30937,0.0013268,0.0013268,0.0013268
19,522.161,1.80163,1.07075,1.28647,0.81699,0.76741,0.83147,0.37586,1.68132,1.11423,1.29544,0.0012872,0.0012872,0.0012872
20,550.179,1.76091,1.03226,1.26966,0.83373,0.78323,0.85356,0.38793,1.66365,1.12652,1.31015,0.0012476,0.0012476,0.0012476
21,579.412,1.82849,1.05481,1.24876,0.84628,0.79272,0.86558,0.39499,1.68264,1.10173,1.32114,0.001208,0.001208,0.001208
22,31453.4,1.7201,0.94566,1.25256,0.86842,0.80538,0.87978,0.40422,1.70506,1.07095,1.31747,0.0011684,0.0011684,0.0011684
23,31478.3,1.76002,0.96693,1.21093,0.87679,0.8107,0.88634,0.39797,1.73465,1.07847,1.30823,0.0011288,0.0011288,0.0011288
24,31503,1.73164,0.94174,1.21969,0.8564,0.82096,0.87709,0.39113,1.73959,1.11064,1.30479,0.0010892,0.0010892,0.0010892
25,31527.6,1.68896,0.90252,1.21468,0.85696,0.81487,0.86737,0.39722,1.7202,1.11994,1.3168,0.0010496,0.0010496,0.0010496
26,31551.8,1.70735,0.90021,1.21873,0.84777,0.80188,0.85742,0.39693,1.70689,1.14814,1.31892,0.00101,0.00101,0.00101
27,31576.5,1.74435,1.03498,1.27852,0.85538,0.78612,0.84851,0.38848,1.78375,1.15896,1.35993,0.0009704,0.0009704,0.0009704
28,31601.7,1.74742,0.98165,1.19063,0.84588,0.79747,0.84702,0.38768,1.81724,1.1328,1.37762,0.0009308,0.0009308,0.0009308
29,31625.1,1.70528,0.92565,1.21752,0.85964,0.78956,0.84922,0.39011,1.79082,1.08033,1.36371,0.0008912,0.0008912,0.0008912
30,31648.8,1.64071,0.87492,1.18293,0.87026,0.80662,0.86,0.39561,1.75103,1.04442,1.34559,0.0008516,0.0008516,0.0008516
31,31673,1.70851,0.93888,1.22911,0.8425,0.81252,0.85736,0.40082,1.72127,1.01112,1.33186,0.000812,0.000812,0.000812
32,31696.8,1.72784,0.97643,1.24595,0.87457,0.81171,0.86888,0.40656,1.68802,1.00045,1.32284,0.0007724,0.0007724,0.0007724
33,31721,1.70281,0.90176,1.25601,0.87324,0.8284,0.88355,0.40609,1.6748,0.98334,1.33165,0.0007328,0.0007328,0.0007328
34,31745,1.64667,0.85468,1.23842,0.87058,0.83023,0.88356,0.40888,1.69033,1.01534,1.34443,0.0006932,0.0006932,0.0006932
35,31769.6,1.72317,0.92642,1.2166,0.86662,0.80854,0.86873,0.3984,1.74259,1.04537,1.36799,0.0006536,0.0006536,0.0006536
36,31793.2,1.68761,0.8993,1.22857,0.85836,0.82437,0.87635,0.40115,1.75273,1.02632,1.36289,0.000614,0.000614,0.000614
37,31817.8,1.68285,0.86274,1.22094,0.85477,0.83703,0.88547,0.41189,1.71484,0.98636,1.33729,0.0005744,0.0005744,0.0005744
38,31844.1,1.69246,0.89348,1.20747,0.881,0.81171,0.89375,0.41671,1.73293,0.95607,1.33054,0.0005348,0.0005348,0.0005348
39,31872.1,1.68532,0.87784,1.16959,0.89456,0.81962,0.90187,0.41704,1.76422,0.94692,1.33097,0.0004952,0.0004952,0.0004952
40,31901.9,1.71787,0.90783,1.18073,0.87343,0.82985,0.89781,0.41211,1.79917,0.95239,1.33827,0.0004556,0.0004556,0.0004556
